Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,5,7352.50,7421.00,6/7/2019 10:00:00 AM,6/7/2019 4:15:00 PM,Long1,ExitLongAtClose,$685.00,$685.00,$0.00,$27.50,$1000.00,$315.00,26,
2,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,7895.25,7859.50,7/31/2019 4:00:00 PM,7/31/2019 4:15:00 PM,Short1,ExitShortAtClose,$71.50,$756.50,$0.00,$6.50,$74.00,$2.50,2,
3,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,5,7920.50,7846.00,8/1/2019 10:00:00 AM,8/1/2019 2:00:00 PM,Long1,Stop loss,($745.00),$11.50,$0.00,$745.00,$940.00,$1685.00,17,
4,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,5,7627.50,7612.25,8/16/2019 11:15:00 AM,8/16/2019 4:15:00 PM,Long1,ExitLongAtClose,($152.50),($141.00),$0.00,$342.50,$47.50,$200.00,21,
5,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,7653.75,7473.50,8/23/2019 10:15:00 AM,8/23/2019 4:15:00 PM,Short1,ExitShortAtClose,$360.50,$219.50,$0.00,$156.50,$411.50,$51.00,25,
6,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,7593.75,7570.75,8/27/2019 11:30:00 AM,8/27/2019 4:15:00 PM,Short1,ExitShortAtClose,$46.00,$265.50,$0.00,$27.50,$114.00,$68.00,20,
7,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,5,7673.00,7689.50,8/30/2019 12:00:00 PM,8/30/2019 4:15:00 PM,Long1,ExitLongAtClose,$165.00,$430.50,$0.00,$165.00,$242.50,$77.50,18,
8,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,5,7678.75,7723.50,9/4/2019 10:45:00 AM,9/4/2019 4:15:00 PM,Long1,ExitLongAtClose,$447.50,$878.00,$0.00,$57.50,$510.00,$62.50,23,
9,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,5,7835.00,7839.75,9/23/2019 10:45:00 AM,9/23/2019 4:15:00 PM,Long1,ExitLongAtClose,$47.50,$925.50,$0.00,$220.00,$302.50,$255.00,23,
10,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,7842.25,7733.00,9/24/2019 11:15:00 AM,9/24/2019 4:15:00 PM,Short1,ExitShortAtClose,$218.50,$1144.00,$0.00,$3.50,$281.00,$62.50,21,
